City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Turaif,31.67,38.66,102.2,13,9,9.17,SA,1600439044
Arni,12.67,79.28,80.42,80,100,8.86,IN,1600439044
Provideniya,64.38,-173.3,41.94,79,100,6.85,RU,1600439044
Araras,-22.36,-47.38,87.01,47,18,2.24,BR,1600438752
Hithadhoo,-0.6,73.08,83.07,76,49,5.44,MV,1600438915
Pevek,69.7,170.31,34.23,87,100,8.84,RU,1600439044
Butaritari,3.07,172.79,81.63,76,80,12.48,KI,1600439044
Rawson,-43.3,-65.1,52.11,41,0,26.08,AR,1600439045
Saint-Philippe,-21.36,55.77,73.4,69,75,19.46,RE,1600439045
Ugoofaaru,5.67,73.0,82.85,76,100,17.58,MV,1600439045
Kristianstad,56.03,14.15,66.99,42,0,13.87,SE,1600439045
Tuatapere,-46.13,167.68,48.0,81,100,15.01,NZ,1600439045
Pangnirtung,66.15,-65.71,37.4,55,75,2.24,CA,1600439045
Abancay,-13.63,-72.88,63.77,48,69,4.74,PE,1600439045
Tolcsva,48.28,21.45,64.4,36,0,20.8,HU,1600439046
Otane,-39.88,176.63,45.0,87,0,1.01,NZ,1600439046
Saint Paul Harbor,57.79,-152.41,42.8,81,1,4.7,US,1600439046
Lubao,14.92,120.55,78.8,88,75,4.7,PH,1600439046
Albany,42.6,-73.97,57.99,59,70,9.04,US,1600438901
Grand-Lahou,5.14,-5.02,78.58,77,35,8.95,CI,1600439046
Bowen,-20.02,148.23,66.2,93,40,8.05,AU,1600439047
Akdepe,42.06,59.38,69.8,26,0,9.17,TM,1600439047
Lompoc,34.64,-120.46,57.99,100,90,3.36,US,1600439047
Lethem,3.38,-59.8,88.59,57,19,2.77,GY,1600439047
Ancud,-41.87,-73.82,48.61,76,11,11.27,CL,1600439047
Nemuro,43.32,145.57,66.54,87,100,8.08,JP,1600439047
Lüderitz,-26.65,15.16,69.49,48,0,24.56,NA,1600439048
Neutraubling,48.98,12.2,72.0,37,1,5.82,DE,1600439048
Alenquer,-1.94,-54.74,87.8,66,20,13.87,BR,1600439048
Jamestown,42.1,-79.24,55.0,81,90,10.29,US,1600438836
Kidal,18.44,1.41,97.93,24,99,9.37,ML,1600439048
Hauterive,46.09,3.45,91.4,26,20,17.22,FR,1600439048
Shirokiy,49.76,129.52,51.22,94,100,6.89,RU,1600439048
Sinazongwe,-17.26,27.46,90.64,24,0,9.15,ZM,1600439049
Karratha,-20.74,116.85,70.23,85,0,4.68,AU,1600439001
Cherskiy,68.75,161.3,29.17,97,55,0.04,RU,1600439049
Sikonge,-5.63,32.77,89.6,22,3,13.87,TZ,1600439049
Port Elizabeth,-33.92,25.57,64.4,72,20,23.04,ZA,1600439049
Lac du Bonnet,50.25,-96.06,41.0,99,100,4.72,CA,1600439053
Mastic Beach,40.77,-72.85,63.0,72,90,10.29,US,1600439053
Qaqortoq,60.72,-46.03,37.4,86,75,9.17,GL,1600439053
Kleive,62.8,7.64,57.2,71,20,14.99,NO,1600439054
Arraial do Cabo,-22.97,-42.03,82.4,69,40,6.93,BR,1600439054
Mar del Plata,-38.0,-57.56,60.8,25,0,13.87,AR,1600439054
Port Alfred,-33.59,26.89,66.61,69,77,21.97,ZA,1600439054
Lusambo,-4.97,23.45,87.26,52,57,2.04,CD,1600439054
Talnakh,69.49,88.4,50.0,93,51,17.9,RU,1600439055
Cabo San Lucas,22.89,-109.91,79.0,78,40,3.36,MX,1600438909
Urucará,-2.54,-57.76,97.47,34,0,5.35,BR,1600439055
Souillac,-20.52,57.52,73.4,64,40,5.82,MU,1600439055
Bam,29.11,58.36,80.29,16,0,11.54,IR,1600439055
Thunder Bay,48.4,-89.32,41.0,80,20,4.7,CA,1600438859
Cayenne,4.93,-52.33,87.8,55,75,6.93,GF,1600439056
Agüimes,27.91,-15.45,80.6,65,20,24.16,ES,1600439056
Bredasdorp,-34.53,20.04,66.2,55,70,19.46,ZA,1600439056
Taoudenni,22.68,-3.98,106.93,17,14,8.12,ML,1600438799
Aklavik,68.22,-135.01,46.4,75,90,8.05,CA,1600439056
Roald,62.58,6.13,57.2,76,40,11.41,NO,1600439056
Lagoa,39.05,-27.98,69.49,72,1,17.72,PT,1600439056
Airai,-8.93,125.41,59.72,100,27,1.48,TL,1600439057
Cap-aux-Meules,47.38,-61.86,51.8,66,75,10.29,CA,1600439057
Avarua,-21.21,-159.78,71.6,88,100,5.82,CK,1600439057
Mount Isa,-20.73,139.5,73.4,100,75,4.7,AU,1600439057
Jiayuguan City,39.82,98.3,63.55,27,0,7.96,CN,1600439057
Cape Town,-33.93,18.42,64.0,87,75,6.93,ZA,1600438936
Beringovskiy,63.05,179.32,40.06,83,91,12.24,RU,1600439057
Taikang,46.83,124.42,53.74,89,96,11.25,CN,1600439058
Poum,-20.23,164.02,73.81,77,0,11.45,NC,1600439058
Piopio,-38.47,175.02,48.99,80,47,2.48,NZ,1600439058
Nikolskoye,59.7,30.79,53.6,62,20,17.9,RU,1600439058
Sanghar,26.05,68.95,96.8,47,5,6.93,PK,1600439058
Şugag,45.77,23.63,73.4,49,75,8.05,RO,1600439059
Marystown,47.17,-55.15,64.99,100,100,9.62,CA,1600439059
Abhā,18.22,42.51,82.4,8,20,9.17,SA,1600439007
Leningradskiy,69.38,178.42,31.59,97,100,16.06,RU,1600439059
Prata,-19.31,-48.92,97.05,14,0,10.25,BR,1600439059
Mount Gambier,-37.83,140.77,57.2,87,75,9.17,AU,1600439059
Berdigestyakh,62.1,126.7,40.91,78,0,1.9,RU,1600438820
Buchanan,5.88,-10.05,78.8,88,75,4.7,LR,1600439060
Zhenhaicun,24.26,118.09,82.4,78,40,15.66,CN,1600439060
Chapel Hill,35.91,-79.06,70.0,96,100,10.65,US,1600438967
Kloulklubed,7.04,134.26,77.0,94,75,3.69,PW,1600439060
Meulaboh,4.14,96.13,77.83,83,100,3.56,ID,1600439047
Sørland,67.67,12.69,50.0,76,75,27.51,NO,1600439060
La Ronge,55.1,-105.28,42.8,87,5,3.36,CA,1600439061
Kil,59.51,13.31,69.8,49,0,11.41,SE,1600439061
Sovetskiy,61.36,63.58,44.47,61,100,5.01,RU,1600439061
Lebu,-37.62,-73.65,50.2,69,4,17.05,CL,1600439061
Rafrāf,37.19,10.18,87.8,45,20,13.87,TN,1600439061
Fayaoué,-20.65,166.53,73.89,80,58,25.9,NC,1600439061
Sinnamary,5.38,-52.95,85.32,65,8,11.86,GF,1600439062
Amapá,1.0,-52.0,90.1,46,79,4.79,BR,1600439062
Rome,43.21,-75.46,55.99,47,1,10.29,US,1600438788
Cattolica,43.96,12.74,77.0,57,0,8.05,IT,1600439062
Khatanga,71.97,102.5,56.1,57,80,19.37,RU,1600439062
Narutochō-mitsuishi,34.18,134.62,75.2,78,75,4.7,JP,1600439062
Labuhan,-6.88,112.21,81.66,72,65,12.26,ID,1600439063
Kampot,10.62,104.18,82.4,78,75,20.8,KH,1600439063
George Town,5.41,100.34,77.0,100,20,4.7,MY,1600439063
Seoul,37.57,126.98,69.8,64,1,6.69,KR,1600438923
Port Hueneme,34.15,-119.2,64.4,93,1,4.59,US,1600439063
Carutapera,-1.2,-46.02,87.33,60,5,10.69,BR,1600439063
Bandarbeyla,9.49,50.81,78.33,77,100,29.35,SO,1600439063
Maltahöhe,-24.83,16.98,89.44,8,0,17.36,NA,1600439063
Sablé-sur-Sarthe,47.84,-0.33,84.2,39,100,10.29,FR,1600439064
Geraldton,-28.77,114.6,51.8,81,0,8.05,AU,1600439064
El Tocuyo,9.79,-69.79,86.0,48,60,3.36,VE,1600438891
Kaarina,60.41,22.37,59.0,62,100,11.41,FI,1600439064
Yulara,-25.24,130.99,57.2,30,0,5.82,AU,1600439064
Maragogi,-9.01,-35.22,78.66,73,26,6.49,BR,1600438926
Menongue,-14.66,17.69,84.38,27,100,8.03,AO,1600439064
Hong Kong,22.29,114.16,82.0,87,100,1.01,HK,1600438954
Fort Oglethorpe,34.95,-85.26,73.99,69,75,14.99,US,1600439065
Iracoubo,5.48,-53.2,85.35,65,12,10.22,GF,1600439065
Quatre Cocos,-20.21,57.76,73.4,64,40,5.82,MU,1600439065
Yinchuan,38.47,106.27,71.67,32,0,12.12,CN,1600439065
Comodoro Rivadavia,-45.87,-67.5,46.4,39,40,12.75,AR,1600439012
Chokurdakh,70.63,147.92,40.59,94,99,3.31,RU,1600439066
Ponta do Sol,32.67,-17.1,77.0,57,40,6.93,PT,1600439066
Umluj,25.02,37.27,94.42,43,0,13.71,SA,1600439066
Joyabaj,14.99,-90.81,69.01,77,40,4.7,GT,1600439066
Tromsø,69.65,18.96,48.2,76,75,10.29,NO,1600439066
Pacific Grove,36.62,-121.92,61.0,93,62,1.63,US,1600438960
Bako,5.78,36.57,81.9,45,57,2.48,ET,1600438937
Margate,51.38,1.39,66.0,53,0,8.99,GB,1600438897
Jieshi,22.81,115.83,82.99,84,100,12.84,CN,1600439067
Killybegs,54.63,-8.45,69.8,63,0,6.93,IE,1600439067
Bengkulu,-3.8,102.27,78.44,88,6,7.4,ID,1600439067
Guerrero Negro,27.98,-114.06,77.59,52,0,2.3,MX,1600439067
Khovd,48.01,91.64,62.51,30,100,3.33,MN,1600439067
Rouvroy,50.39,2.9,81.0,44,0,12.75,FR,1600439068
Flinders,-34.58,150.86,61.0,91,100,1.01,AU,1600439068
Buta,2.79,24.73,85.32,63,100,3.24,CD,1600439068
Erenhot,43.65,111.98,61.29,31,0,4.76,CN,1600439068
Kutum,14.2,24.67,90.01,29,97,13.42,SD,1600439068
Taywarah,33.35,64.42,52.57,33,0,10.63,AF,1600439068
Praxédis Guerrero,31.37,-106.02,66.99,59,20,3.36,MX,1600439068
Mahébourg,-20.41,57.7,73.4,64,40,5.82,MU,1600439069
Vila Franca do Campo,37.72,-25.43,71.6,73,75,14.99,PT,1600439069
Lorengau,-2.02,147.27,81.19,79,100,10.58,PG,1600439069
Kaitangata,-46.28,169.85,46.99,67,100,7.0,NZ,1600439069
Omboué,-1.57,9.26,77.04,82,100,10.13,GA,1600439069
Karpathos,35.51,27.21,84.2,62,20,10.29,GR,1600439069
Bilibino,68.05,166.44,26.96,96,51,0.85,RU,1600439070
Krasnoarmeysk,51.02,45.7,68.0,35,100,11.01,RU,1600438927
Ialibu,-6.28,143.99,57.9,99,100,1.7,PG,1600439070
Mayo,38.89,-76.51,66.99,93,90,10.29,US,1600439070
Kudahuvadhoo,2.67,72.89,83.16,80,98,11.36,MV,1600439070
Libertador General San Martín,-23.81,-64.79,82.0,34,0,1.99,AR,1600438940
Conceição da Barra,-18.59,-39.73,82.35,52,0,9.4,BR,1600439074
Saint-Joseph,-21.37,55.62,73.4,69,75,19.46,RE,1600439074
Acapulco de Juárez,16.86,-99.89,75.2,100,90,6.93,MX,1600438788
Broome,42.25,-75.83,59.0,66,1,11.41,US,1600439074
Novo Aripuanã,-5.12,-60.38,96.6,39,0,3.44,BR,1600439074
Sterling,39.01,-77.43,66.99,77,75,13.87,US,1600439074
Lavrentiya,65.58,-171.0,42.89,83,100,10.56,RU,1600439059
Huarmey,-10.07,-78.15,64.31,73,81,5.55,PE,1600439075
Dingle,11.0,122.67,76.24,88,100,5.84,PH,1600439075
Tsimmerbude,54.67,20.13,60.8,59,0,13.42,RU,1600439075
Seydişehir,37.42,31.85,83.64,24,8,12.93,TR,1600438832
Sabaudia,41.3,13.03,88.0,48,0,1.99,IT,1600439075
Coquimbo,-29.95,-71.34,51.8,100,90,8.05,CL,1600439075
Panjāb,34.39,67.02,50.11,40,0,7.99,AF,1600439076
Aripuanã,-9.17,-60.63,101.55,27,40,2.17,BR,1600439076
Muroto-misakicho,33.28,134.15,78.78,85,99,2.68,JP,1600439076
Marovoay,-16.1,46.63,82.4,65,20,13.87,MG,1600439076
Nouadhibou,20.93,-17.03,80.82,66,0,14.14,MR,1600439076
Padang,-0.95,100.35,80.31,75,100,2.91,ID,1600438826
Talaya,61.38,152.75,30.2,95,0,1.7,RU,1600439077
Woodstock,43.13,-80.75,55.0,46,20,13.87,CA,1600438835
Carnarvon,-24.87,113.63,69.8,77,0,11.41,AU,1600439077
Coração de Jesus,-16.69,-44.37,84.2,28,9,6.93,BR,1600439077
Oxford,51.75,-1.26,70.0,46,0,16.11,GB,1600439077
Kargopol',61.51,38.95,41.97,90,100,6.53,RU,1600439077
Tuktoyaktuk,69.45,-133.04,41.0,93,75,11.41,CA,1600439078
São Geraldo do Araguaia,-6.4,-48.55,102.29,25,0,5.3,BR,1600439078
Mossamedes,-15.2,12.15,71.13,61,6,13.82,AO,1600439078
Denpasar,-8.65,115.22,80.6,100,40,10.29,ID,1600438950
Kwinana,-32.25,115.77,55.99,76,0,4.7,AU,1600439078
Hobyo,5.35,48.53,78.84,76,0,27.09,SO,1600439078
Bethel,41.37,-73.41,62.01,72,90,8.05,US,1600438808
Bud,39.45,-86.18,55.99,71,1,10.29,US,1600439078
Shelburne,44.08,-80.2,50.0,61,75,5.82,CA,1600439079
Enumclaw,47.2,-121.99,61.0,96,89,2.93,US,1600438947
Sangar,63.92,127.47,41.67,79,0,3.69,RU,1600439079
Tadine,-21.55,167.88,70.54,80,84,17.56,NC,1600439079
Nhulunbuy,-12.23,136.77,78.8,83,90,8.05,AU,1600439079
Biltine,14.53,20.92,97.81,23,0,3.6,TD,1600439079
Kenai,60.55,-151.26,52.0,71,90,17.22,US,1600439080
Tilichiki,60.47,166.1,35.58,86,0,4.29,RU,1600439080
North Bend,43.41,-124.22,60.8,100,90,9.17,US,1600438834
Itaueira,-7.6,-43.03,93.87,26,0,7.7,BR,1600439080
Tumpat,6.2,102.17,75.2,100,40,2.24,MY,1600439080
Jamkhandi,16.52,75.3,73.8,89,100,14.99,IN,1600439080
Zverinogolovskoye,54.46,64.85,50.79,74,100,8.63,RU,1600439081
Varhaug,58.61,5.65,57.99,92,28,5.99,NO,1600439081
Ilhabela,-23.78,-45.36,80.19,54,27,7.34,BR,1600439081
‘Āhuimanu,21.44,-157.84,78.8,65,40,6.93,US,1600439081
Fairlie,55.76,-4.86,69.01,72,42,1.99,GB,1600439081
Maniitsoq,65.42,-52.9,39.29,82,100,17.76,GL,1600439081
Arkhangel’skoye,55.85,35.33,45.91,94,100,12.44,RU,1600439082
Jiangyou,31.77,104.72,66.13,80,12,1.79,CN,1600439082
Saldanha,-33.01,17.94,66.2,68,0,12.75,ZA,1600439082
Vila Velha,-20.33,-40.29,84.2,51,5,14.99,BR,1600439010
Hobart,-42.88,147.33,42.8,87,0,6.93,AU,1600438815
Eureka,40.8,-124.16,60.01,100,4,6.6,US,1600438999
Iberia,29.95,-91.75,75.2,78,1,11.41,US,1600439082
Olinda,-8.01,-34.86,82.4,65,40,11.41,BR,1600439065
Srandakan,-7.94,110.25,76.23,88,96,5.32,ID,1600439082
Petropavlovsk-Kamchatskiy,53.05,158.65,50.0,100,75,2.24,RU,1600439083
São Filipe,14.9,-24.5,80.29,82,43,10.71,CV,1600439083
Thinadhoo,0.53,72.93,83.57,76,65,8.32,MV,1600439083
Fortuna,40.6,-124.16,62.6,88,75,10.29,US,1600439083
Burns Lake,54.23,-125.75,49.03,88,0,1.1,CA,1600438928
Kasongo,-4.45,26.67,86.94,52,83,4.99,CD,1600439084
Shingū,33.73,135.98,75.38,92,100,4.7,JP,1600439084
Kalnciems,56.8,23.61,60.8,55,6,5.82,LV,1600439084
São Félix do Xingu,-6.64,-51.99,97.79,29,79,4.94,BR,1600438976
Samarai,-10.62,150.67,78.6,87,99,16.73,PG,1600439084
Kumul,42.8,93.45,75.51,21,78,24.74,CN,1600439084
San Quintín,30.48,-115.95,76.37,50,0,6.67,MX,1600439085
Bubaque,11.28,-15.83,80.17,85,94,13.11,GW,1600439085
Kavaratti,10.57,72.64,81.79,81,74,21.0,IN,1600439085
Vanimo,-2.67,141.3,78.98,83,100,4.12,PG,1600439085
Constitución,-35.33,-72.42,57.0,51,16,10.94,CL,1600439085
Bojnourd,37.47,57.33,77.0,22,0,6.93,IR,1600439085
Klyuchi,52.27,79.17,53.56,60,57,9.19,RU,1600439086
Chu,43.6,73.76,60.06,33,100,3.58,KZ,1600438786
Mosquera,4.71,-74.23,62.6,63,20,4.7,CO,1600439086
Salaga,8.55,-0.52,83.03,69,99,2.01,GH,1600439086
Bagdarin,54.43,113.6,41.56,80,81,1.01,RU,1600439086
Nouakchott,18.09,-15.98,89.6,70,14,16.11,MR,1600439066
Östersund,63.18,14.64,51.8,71,75,25.28,SE,1600439086
Kingsland,30.8,-81.69,75.99,89,99,6.06,US,1600439087
Leh,34.17,77.58,58.55,27,0,4.99,IN,1600439087
Talara,-4.58,-81.27,66.2,77,40,14.99,PE,1600439087
Blagoveshchenka,52.83,79.87,52.92,67,51,11.77,RU,1600439087
Sungai Penuh,-2.08,101.38,67.77,95,94,0.87,ID,1600438791
Vólakas,41.32,24.0,84.99,59,76,10.8,GR,1600439087
Jambi City,-1.6,103.62,77.41,84,64,1.99,ID,1600439087
Opuwo,-18.06,13.84,93.6,10,0,2.35,NA,1600439088
Arlit,18.74,7.39,105.12,12,0,13.82,NE,1600439088
Etchoropo,26.77,-109.67,81.0,83,0,1.99,MX,1600439088
Borba,-4.39,-59.59,96.42,39,0,3.83,BR,1600439088
Esperance,-33.87,121.9,53.6,100,98,9.17,AU,1600439088
Arrecife,28.96,-13.55,82.4,51,20,9.17,ES,1600438862
Cockburn Town,21.46,-71.14,86.0,70,40,6.93,TC,1600438861
Isangel,-19.55,169.27,72.54,78,18,16.37,VU,1600439089
Las Tunas,20.96,-76.95,80.6,83,40,4.7,CU,1600439089
San Matías,-16.37,-58.4,98.38,27,0,5.26,BO,1600439089
Fort Nelson,58.81,-122.7,37.4,100,5,3.36,CA,1600439089
Kokopo,-4.35,152.26,75.76,86,98,6.44,PG,1600439089
Panabá,21.28,-88.27,82.42,84,47,8.19,MX,1600439089
Smithers,54.78,-127.17,42.8,100,5,0.47,CA,1600439089
Correia Pinto,-27.58,-50.36,62.47,85,100,2.55,BR,1600439090
Kamenka,51.32,42.77,52.0,84,100,9.44,RU,1600439090
Viranşehir,37.24,39.76,97.29,12,0,12.71,TR,1600439090
Hillsboro,45.52,-122.99,63.0,93,90,1.97,US,1600438999
Sitka,57.05,-135.33,53.6,76,90,3.15,US,1600439090
Port Blair,11.67,92.75,78.39,88,100,19.08,IN,1600438854
Shymkent,42.3,69.6,60.8,38,68,4.47,KZ,1600439090
Grand Gaube,-20.01,57.66,73.0,63,90,7.0,MU,1600439091
Leshukonskoye,64.9,45.76,43.97,70,100,3.87,RU,1600439091
Chara,56.91,118.26,43.39,73,99,2.01,RU,1600439091
Marsh Harbour,26.54,-77.06,84.4,71,100,12.91,BS,1600439091
Omsukchan,62.53,155.8,29.93,95,47,2.86,RU,1600439091
Upernavik,72.79,-56.15,27.81,85,62,16.33,GL,1600439091
Najrān,17.49,44.13,91.4,13,0,11.41,SA,1600439092
Uruguaiana,-29.75,-57.09,77.0,50,0,11.41,BR,1600439092
Buala,-8.14,159.59,80.58,79,100,6.44,SB,1600439092
Rio Grande,-32.03,-52.1,67.37,71,0,10.09,BR,1600438938
Husavik,66.04,-17.34,53.6,50,75,10.29,IS,1600439092
Nome,64.5,-165.41,44.6,81,90,6.93,US,1600439092
Acajutla,13.59,-89.83,75.0,100,93,1.7,SV,1600438852
Aberystwyth,52.42,-4.08,63.0,68,0,4.0,GB,1600438998
Los Llanos de Aridane,28.66,-17.92,78.8,61,75,9.17,ES,1600439093
Pudozh,61.81,36.53,45.32,75,95,4.32,RU,1600439093
Gilbués,-9.83,-45.34,93.49,23,21,7.74,BR,1600439093
Bose,45.46,8.01,84.99,53,10,3.0,IT,1600439093
Srednekolymsk,67.45,153.68,43.36,91,97,13.73,RU,1600439093
Atar,20.52,-13.05,106.5,9,0,7.29,MR,1600439094
Chapais,49.78,-74.85,39.2,85,75,8.05,CA,1600439094
Visby,57.64,18.3,63.0,71,0,13.87,SE,1600439094
Mananara,-16.17,49.77,71.46,83,38,7.78,MG,1600439094
Sakakah,29.97,40.21,105.8,7,20,13.87,SA,1600439094
Savannah Bight,16.45,-85.85,84.07,76,44,13.2,HN,1600439094
Cabañas,22.98,-82.92,82.4,88,20,4.7,CU,1600439095
Rusape,-18.53,32.13,79.09,24,29,12.01,ZW,1600439095
Kavieng,-2.57,150.8,80.47,79,100,6.13,PG,1600439095
Camaná,-16.62,-72.71,64.18,67,71,7.49,PE,1600439095
Zhezkazgan,47.8,67.71,62.6,45,90,6.71,KZ,1600439095
Puerto Escondido,15.85,-97.07,78.8,74,90,3.6,MX,1600439095
Gurupá,-1.41,-51.64,91.62,52,33,5.03,BR,1600439096
Sur,22.57,59.53,87.58,54,0,11.21,OM,1600439096
Wahiawā,21.5,-158.02,78.01,94,1,5.7,US,1600439096
Mergen,49.18,125.22,49.89,90,100,10.31,CN,1600439096
Bambous Virieux,-20.34,57.76,73.4,64,40,5.82,MU,1600439096
Desa,43.87,23.03,84.02,30,82,9.93,RO,1600439096
Yangi Marg`ilon,40.43,71.72,55.4,71,75,20.8,UZ,1600439096
Qingquan,30.45,115.26,63.25,90,55,5.01,CN,1600439097
Torbay,47.67,-52.73,69.01,77,75,13.87,CA,1600439097
Enshi,30.3,109.48,64.13,69,100,0.18,CN,1600439097
Manggar,-2.88,108.27,81.36,79,68,13.04,ID,1600439097
Castro,-24.79,-50.01,78.6,41,18,9.08,BR,1600438879
Sibolga,1.74,98.78,77.9,80,98,2.39,ID,1600439097
Mutoko,-17.4,32.23,82.15,23,9,12.91,ZW,1600439097
Gogrial,8.53,28.1,89.87,59,10,3.02,SS,1600439098
Mitsamiouli,-11.38,43.28,82.4,65,75,12.75,KM,1600439098
Anadyr,64.75,177.48,35.6,93,75,4.47,RU,1600439098
Tabou,4.42,-7.35,77.41,78,48,9.84,CI,1600439098
Maxixe,-23.86,35.35,80.6,74,75,12.75,MZ,1600439098
Ayagoz,47.97,80.44,53.31,56,83,7.94,KZ,1600439098
Āwash,8.98,40.17,84.16,45,100,14.16,ET,1600439099
Hasaki,35.73,140.83,81.0,88,20,2.24,JP,1600439099
Bathsheba,13.22,-59.52,87.8,62,20,11.41,BB,1600439099
Port Hardy,50.7,-127.42,57.2,100,90,4.61,CA,1600439099
Emba,48.83,58.14,60.78,35,55,4.21,KZ,1600439099
Papara,-3.98,-38.73,84.2,58,40,21.92,BR,1600439099
Barsovo,61.17,73.17,46.4,81,100,13.42,RU,1600439100
Les Cayes,18.2,-73.75,84.36,67,0,1.21,HT,1600439100
Yerbogachën,61.28,108.01,46.87,80,0,3.94,RU,1600438892
Mkushi,-13.62,29.39,88.66,20,0,10.36,ZM,1600439100
Marzuq,14.4,46.47,91.53,11,43,13.11,YE,1600439100
Laas,46.62,10.7,73.99,56,20,8.05,IT,1600439100
Leer,8.3,30.14,86.94,66,41,2.21,SS,1600439101
Sangre Grande,10.58,-61.12,87.8,66,40,3.78,TT,1600439101
